what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301042980635
error,log,,,"No command output when running: 'am start -n com.commonsware.android/com.commonsware.android.Now -a android.intent.action.MAIN -c android.intent.category.LAUNCHER' on device emulator-5554",1301043028992
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301043181044
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301043184969
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301043189153
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301043199149
error,log,,,"No command output when running: 'am start -n com.commonsware.android/com.commonsware.android.Now -a android.intent.action.MAIN -c android.intent.category.LAUNCHER' on device emulator-5554",1301043239431
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1301043334747
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301043334922
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1301043335510
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301043351639
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301043356208
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1301043362612
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1301043368444
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.1.v201008232129,"org.eclipse.jst.ws.jaxws.ui",1301043368497
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1301043368540
started,bundle,org.eclipse.pde.api.tools,1.0.202.v20100820_r361,"org.eclipse.pde.api.tools",1301043368765
started,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1301043368789
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1301043378317
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1301043398675
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301043402009
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301043402301
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1301043405234
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1301043406148
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1301043406974
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1301043417037
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1301043417389
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1301043417605
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1301043418029
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1301043425881
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1301043429877
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301043431570
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301043431850
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1301043435591
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1301043440510
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1301043442755
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1301043451534
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301043453314
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301043453596
no handler,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1301043536893
no handler,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1301043536893
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1301043543108
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1301043589511
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1301043589736
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1301043589884
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1301043596078
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1301043639324
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301043645303
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301043645538
started,bundle,org.eclipse.pde.core,3.6.1.v20100902_r361,"org.eclipse.pde.core",1301043656044
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1301043656327
started,bundle,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.ui",1301043656483
started,bundle,com.wireframesketcher.ui,2.2.0,"com.wireframesketcher.ui",1301043656698
started,bundle,com.wireframesketcher.model,2.2.0,"com.wireframesketcher.model",1301043656736
started,bundle,org.eclipse.jst.jsp.core,1.2.304.v201102160550,"org.eclipse.jst.jsp.core",1301043656996
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301043658270
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.rename",1301043658465
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1301043661686
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301043666300
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301043670958
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301043679930
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1301043868977
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301043869310
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301043871395
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301043874654
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301043874956
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301043876444
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301043883281
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301043884645
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301043921760
